Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Tany_N_cells,Tany_Posit_Nod2_cells,Tany_Posit_Pnoc_cells,Tany_Nod2_aver_puncta,Tany_Pnoc_aver_puncta,Tany_N_double_cells,Tany_Nod2_puncta_double,Tany_Pnoc_puncta_double
134,2,not known,HFHS,1472,HFHS 1472,F,1,111,14008.8393,45,24,3,5.75,6.86,2,12.8,6.82
134,3,not known,HFHS,1472,HFHS 1472,F,1,111,13281.0581,61,32,7,6.56,11.28,6,9.32,12.39
134,5,not known,HFHS,1472,HFHS 1472,F,1,111,14484.7367,58,34,3,5.58,5.41,3,11.54,5.41
245,1,not known,HFHS,1472,HFHS 1472,F,2,120,6679.3881,24,13,1,5.67,6.01,0,0,0
245,2,not known,HFHS,1472,HFHS 1472,F,2,120,16964.2467,88,44,5,7.41,11.92,4,6.23,9.98
245,3,not known,HFHS,1472,HFHS 1472,F,2,120,15634.3552,75,36,5,5.51,13.34,2,11.04,18.07
245,5,not known,HFHS,1472,HFHS 1472,F,2,120,12874.6924,51,15,0,3.43,0,0,0,0
247,1,not known,HFHS,1472,HFHS 1472,F,2,127,13260.3051,65,31,1,5.83,17.6793,1,11.0839,17.6793
247,2,not known,HFHS,1472,HFHS 1472,F,2,127,11206.8388,53,24,3,6.27,6.82,3,16.94,6.82
247,3,not known,HFHS,1472,HFHS 1472,F,2,127,13870.7321,62,11,0,4.81,0,0,0,0
247,4,not known,HFHS,1472,HFHS 1472,F,2,127,15962.7773,55,7,0,3.24,0,0,0,0
