Mouse_ID,Cohort,Diet,Treatment,Legend,Age,food_intake,energy_intake
122,2,Control,Vehicle,Control Vehicle,PND13,11.8,42.834
129,2,Control,Vehicle,Control Vehicle,PND13,11.4,41.382
113,4,Control,Vehicle,Control Vehicle,PND13,10.2,37.026
131,6,Control,Vehicle,Control Vehicle,PND13,9.7,35.211
110,1,HFHS,Vehicle,HFHS Vehicle,PND13,11.2,51.688
107,1,HFHS,Vehicle,HFHS Vehicle,PND13,5.2,23.998
123,2,HFHS,Vehicle,HFHS Vehicle,PND13,8.6,39.689
121,2,HFHS,Vehicle,HFHS Vehicle,PND13,10.6,48.919
125,3,HFHS,Vehicle,HFHS Vehicle,PND13,9.6,44.304
126,4,HFHS,Vehicle,HFHS Vehicle,PND13,11.4,52.611
133,6,HFHS,Vehicle,HFHS Vehicle,PND13,13.1,60.4565
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,9.1,41.9965
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,9.8,45.227
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,11.9,54.9185
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,11.6,53.534
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,11.3,52.1495
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,9.8,45.227
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND13,11.4,52.611
115,1,HFHS,1472,HFHS 1472,PND13,7,32.305
111,1,HFHS,1472,HFHS 1472,PND13,7.1,32.7665
120,2,HFHS,1472,HFHS 1472,PND13,6.4,29.536
127,2,HFHS,1472,HFHS 1472,PND13,10.5,48.4575
116,4,HFHS,1472,HFHS 1472,PND13,9.7,44.7655
130,5,HFHS,1472,HFHS 1472,PND13,8.5,39.2275
135,6,HFHS,1472,HFHS 1472,PND13,11,50.765
105,1,Control,Vehicle,Control Vehicle,PND14,9.4,34.122
104,1,Control,Vehicle,Control Vehicle,PND14,6,21.78
117,2,Control,Vehicle,Control Vehicle,PND14,5.6,20.328
122,2,Control,Vehicle,Control Vehicle,PND14,8.9,32.307
129,2,Control,Vehicle,Control Vehicle,PND14,9.1,33.033
113,4,Control,Vehicle,Control Vehicle,PND14,10.7,38.841
131,6,Control,Vehicle,Control Vehicle,PND14,9.1,33.033
110,1,HFHS,Vehicle,HFHS Vehicle,PND14,10.8,49.842
107,1,HFHS,Vehicle,HFHS Vehicle,PND14,4.9,22.6135
123,2,HFHS,Vehicle,HFHS Vehicle,PND14,12.5,57.6875
121,2,HFHS,Vehicle,HFHS Vehicle,PND14,9.8,45.227
125,3,HFHS,Vehicle,HFHS Vehicle,PND14,8.2,37.843
126,4,HFHS,Vehicle,HFHS Vehicle,PND14,10.5,48.4575
133,6,HFHS,Vehicle,HFHS Vehicle,PND14,14.2,65.533
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,10,46.15
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,9.6,44.304
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,11.5,53.0725
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,12.1,55.8415
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,9.4,43.381
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,9.1,41.9965
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,13.4,61.841
