symbol,sex,statistic_diet,p.adj_diet
Cep85l,F,1.755064592,0.123
Cers4,F,1.45442923,0.188
Cers5,F,1.744673791,0.12
Cetn2,F,1.858363545,0.105
Cfap300,F,1.805996226,0.12
Cfap36,F,1.898356343,0.102
Cfap95,F,1.807825357,0.101
Cfap97,F,1.507914888,0.179
Cfap99,F,1.597380133,0.151
Cfl2,F,1.490606973,0.191
Cgas,F,1.85207502,0.1
Cggbp1,F,1.551288266,0.176
Chac1,F,-1.454953687,0.196
Chac2,F,1.877095871,0.111
Chat,F,-1.779358818,0.111
Chchd3,F,1.70920704,0.121
Chd8,F,1.870070629,0.101
Chic1,F,1.699528115,0.147
Chic2,F,1.751890006,0.114
Chl1,F,1.957267627,0.104
Chm,F,1.524031585,0.179
Chmp3,F,1.916056031,0.1
Chmp4c,F,1.672821828,0.138
Chmp5,F,1.754804289,0.134
Chodl,F,1.565877575,0.171
Chp1,F,1.728561003,0.135
Chrdl1,F,1.546790028,0.164
Chrm3,F,1.47794853,0.179
Chrna1,F,1.646684924,0.131
Chrnb3,F,1.714879181,0.123
Chst10,F,1.657217016,0.137
Chst15,F,1.466833728,0.175
Chtop,F,1.690932611,0.143
Ciao1,F,1.688219412,0.141
Ciao2a,F,1.644376656,0.16
Ciao3,F,1.526535039,0.168
Cilk1,F,1.609781507,0.141
Cisd1,F,1.719549657,0.141
Cisd2,F,1.867480548,0.116
Cited2,F,1.548050234,0.153
Cklf,F,1.796001445,0.115
Cks1b,F,1.676804936,0.132
Clba1,F,-1.64202496,0.143
Clcn3,F,1.783940247,0.128
Clcn4,F,1.520025808,0.183
Cldn1,F,1.813214608,0.117
Cldn12,F,1.597624922,0.165
Cldn34c1,F,1.560606901,0.164
Cldn5,F,-1.640830594,0.152
Cldnd1,F,1.753206702,0.133
Clec12a,F,-1.762244287,0.114
Clec1a,F,1.660743837,0.142
Clip4,F,1.874207461,0.107
Clk4,F,1.760910117,0.127
Cln5,F,1.710024832,0.133
Cmas,F,1.75933104,0.123
Cnbp,F,1.577735989,0.168
Cnep1r1,F,1.560940797,0.173
Cnih1,F,1.954837304,0.107
Cnih4,F,1.680778187,0.131
Cnot10,F,1.873518615,0.103
Cnot6,F,1.754969335,0.124
Cnot6l,F,1.614595694,0.151
Cnot7,F,1.635551707,0.159
Cntn1,F,1.823917954,0.124
Cntn6,F,1.882711606,0.106
Cntnap3,F,1.785664552,0.122
Cntnap4,F,1.63851794,0.133
Cntrl,F,1.46505258,0.188
Coa5,F,1.73788101,0.14
Coa6,F,1.448447375,0.187
Coch,F,1.832440682,0.115
Coil,F,-1.732169025,0.117
Col19a1,F,1.505766587,0.164
Col20a1,F,-1.586582336,0.148
Col25a1,F,1.661208746,0.149
Col3a1,F,1.785920382,0.124
Col4a4,F,1.818047292,0.109
Commd2,F,1.696200552,0.133
Commd8,F,1.845665434,0.123
Copb1,F,1.540806472,0.177
Cops2,F,1.62609618,0.16
Cops4,F,1.637260887,0.156
Cops5,F,1.515515342,0.18
Cops8,F,1.834060965,0.116
Copz2,F,1.432144679,0.184
Coq2,F,1.581571558,0.145
Cox11,F,1.700429777,0.128
Cox15,F,1.57070821,0.16
Cox6a2,F,-1.679321191,0.127
Cox7a1,F,-1.555946461,0.166
Cox7a2l,F,1.663062321,0.135
Cpe,F,1.697759763,0.135
Cpeb2,F,1.639884121,0.151
Cpeb3,F,1.553805786,0.171
Cps1,F,1.486871837,0.17
Cpt2,F,1.663599296,0.127
Cpxm2,F,1.595978785,0.151
Crb1,F,1.618566223,0.139
Crebzf,F,1.783508944,0.105
Crhr2,F,-1.422517145,0.193
Crim1,F,1.734906964,0.134
Crip3,F,-1.668371164,0.127
Crk,F,1.514397086,0.179
Crlf1,F,-1.784954031,0.119
Crlf3,F,1.489363472,0.17
Crot,F,1.512747991,0.176
Crxos,F,1.615836702,0.156
Cry2,F,-1.531988916,0.16
Csde1,F,1.764406041,0.131
Cse1l,F,1.91525031,0.11
Csmd3,F,1.427034137,0.19
Csnk1g3,F,1.836266838,0.119
Csnk2a1,F,1.904842358,0.109
Cspp1,F,1.563627513,0.161
Cstf2t,F,1.528734393,0.172
Ctbp2,F,1.587549434,0.155
Ctbs,F,1.516704744,0.182
Ctcf,F,1.726125341,0.115
Ctsb,F,1.497824633,0.181
Ctu2,F,-1.449571627,0.199
Ctxn2,F,1.64881547,0.154
Cul1,F,1.772312209,0.123
Cul3,F,1.692564161,0.144
Cwh43,F,-1.677783763,0.14
Cyb5b,F,1.848747085,0.115
Cyb5d1,F,1.44027349,0.183
Cyb5r4,F,1.535092297,0.16
Cycs,F,1.50669472,0.184
Cyfip1,F,1.474643426,0.183
Cyfip2,F,1.469449557,0.193
Cyp20a1,F,1.607413494,0.149
Cyp27a1,F,1.73293791,0.117
Cyp2d13,F,-1.700686207,0.12
Cyp2j6,F,1.53686877,0.171
Cyp4v3,F,1.485382533,0.189
Cyp4x1,F,1.528441818,0.175
Cyp7b1,F,1.492053499,0.169
Cyria,F,1.468908142,0.182
D6Wsu163e,F,1.482952907,0.173
D930020B18Rik,F,1.488652959,0.172
Daam1,F,1.525845556,0.184
Dab1,F,1.441804588,0.186
Dab2,F,1.771030668,0.113
Dach1,F,1.728936409,0.128
Dact2,F,-1.830344873,0.117
Dap3,F,1.63299784,0.15
Dars,F,1.89512463,0.112
Dars2,F,1.436934048,0.19
Daw1,F,1.679471062,0.129
Dazl,F,1.63587759,0.134
Dbp,F,-1.693573626,0.132
Dbx2,F,1.631306537,0.138
Dcaf10,F,1.418477426,0.188
Dcaf11,F,1.584060033,0.168
Dcaf12,F,1.42768961,0.197
Dcaf12l2,F,1.841195545,0.106
Dcaf13,F,1.595543444,0.144
Dcaf17,F,1.384739532,0.198
Dcaf6,F,1.683411514,0.13
Dcaf8,F,1.760609046,0.111
Dck,F,1.734896804,0.13
Dclre1b,F,1.594777449,0.142
Dclre1c,F,1.828675729,0.103
Dcn,F,1.722472692,0.119
Dcp1b,F,1.863324631,0.101
Dct,F,-1.817662404,0.105
Dcun1d2,F,1.854100337,0.104
Dcun1d4,F,1.589894313,0.163
Ddit3,F,-1.748239634,0.139
Ddx1,F,1.655718823,0.145
Ddx10,F,1.839426282,0.107
Ddx46,F,1.683703974,0.151
Ddx5,F,1.598457653,0.162
Ddx51,F,1.471186883,0.186
Ddx52,F,1.894414548,0.111
Ddx6,F,1.703663782,0.14
Decr1,F,1.538728235,0.171
Degs1,F,1.645773285,0.148
Dennd10,F,1.638258396,0.153
Dennd11,F,1.518285312,0.181
Dennd1a,F,-1.416595811,0.199
Dennd1b,F,1.81195206,0.127
Dennd4a,F,1.651873155,0.142
Deup1,F,1.765895077,0.108
Dgcr8,F,1.691718128,0.143
Dgkd,F,1.813139239,0.106
Dgki,F,1.698776166,0.121
Dhrs1,F,1.455913444,0.184
Dhrs11,F,-1.485291249,0.186
Dhx36,F,1.800752771,0.129
Dhx40,F,1.622827157,0.162
Dhx9,F,1.500606314,0.186
Diaph1,F,1.791156825,0.104
Dicer1,F,1.654177225,0.132
Dio2,F,1.404713287,0.192
Dip2b,F,1.692583515,0.122
Diras1,F,-1.796217059,0.125
Diras2,F,1.570426904,0.169
Dkk2,F,1.608619435,0.14
Dlat,F,1.763076079,0.122
Dlc1,F,1.390526483,0.198
Dld,F,1.793044526,0.127
Dleu7,F,1.482429389,0.169
Dll1,F,-1.571437331,0.156
Dmac2l,F,1.504542179,0.186
Dmap1,F,1.662087693,0.132
Dmd,F,1.766822797,0.128
Dmrta2,F,1.614690574,0.143
Dmxl1,F,1.859676131,0.11
Dnaaf3,F,-1.459832149,0.183
Dnah1,F,1.416948436,0.187
Dnah5,F,1.822687479,0.103
Dnah9,F,1.467337795,0.182
Dnaja2,F,1.624003031,0.162
Dnaja4,F,1.710438246,0.122
Dnajb6,F,1.559358152,0.17
Dnajc12,F,1.584904551,0.169
Dnajc15,F,1.793000058,0.127
Dnajc27,F,1.614355011,0.159
Dnajc3,F,1.637344987,0.154
Dnajc30,F,1.615539856,0.152
Dnajc5,F,1.554540375,0.176
Dnajc6,F,1.644465894,0.158
Dner,F,1.841138445,0.122
Dnm1,F,1.842372727,0.101
Dnm1l,F,1.545891851,0.178
Dnm3,F,1.72417435,0.14
Dock11,F,1.791548192,0.124
Dock5,F,1.635785182,0.133
Dok5,F,1.809825035,0.102
Dop1a,F,1.857212452,0.105
Dpf3,F,1.403558533,0.191
Dph5,F,1.835835131,0.114
Dph6,F,1.651916875,0.155
Dpy19l4,F,1.927719918,0.108
Dpy30,F,1.583352979,0.151
Dpyd,F,1.778964124,0.128
Dram2,F,1.626766075,0.159
Drg1,F,1.828114294,0.111
Dscaml1,F,1.515216459,0.167
Dsel,F,1.755187598,0.121
Dsn1,F,-1.741396844,0.12
Dst,F,1.603187867,0.14
Dtx2,F,-1.516161236,0.162
Dusp22,F,1.461813036,0.19
Dync1i2,F,1.796082283,0.13
Dync2li1,F,1.711442218,0.125
Dynlt2a2,F,1.825537036,0.108
Dynlt3,F,1.953883194,0.106
Dynlt4,F,-1.701769784,0.129
Dynlt5,F,1.708153233,0.126
Dzank1,F,1.840285555,0.121
E2f5,F,1.639584377,0.146
Eapp,F,1.439985047,0.188
Ears2,F,1.535129257,0.167
Ebf1,F,1.636724975,0.136
Ebna1bp2,F,1.597017066,0.152
Ecel1,F,-1.652465539,0.149
Eci2,F,1.498435316,0.169
Edil3,F,1.67498246,0.151
Ednrb,F,1.810799174,0.107
Eea1,F,1.910717423,0.104
Eef2kmt,F,-1.596579663,0.149
Eepd1,F,1.867351842,0.102
Efcab7,F,1.588836724,0.148
Efna2,F,-1.48173229,0.175
Efna3,F,-1.808758234,0.128
Efr3a,F,1.921218629,0.109
Efr3b,F,1.864905942,0.1
Egr3,F,1.40729245,0.19
Ehbp1,F,1.633107658,0.149
Ei24,F,1.444120558,0.188
Eid1,F,1.505146301,0.184
Eif2ak1,F,1.442435502,0.196
Eif2b3,F,1.487523803,0.186
Eif2b5,F,1.697621675,0.121
Eif2d,F,1.502093599,0.164
Eif2s2,F,-1.508170143,0.163
Eif3a,F,1.5029583,0.189
Eif3c,F,1.626510797,0.144
Eif3i,F,1.734121355,0.138
Eif3m,F,1.97868439,0.101
Eif4a2,F,1.595268302,0.17
Eif4e,F,1.97488157,0.101
Eif5a2,F,1.470893363,0.197
Eif5b,F,1.829917154,0.106
Elac1,F,1.772255059,0.121
Elavl1,F,1.656483815,0.148
Elavl4,F,1.92856476,0.104
Elf1,F,1.533807022,0.161
Ell,F,-1.744716373,0.132
Elmod1,F,1.594443453,0.157
Elob,F,1.804975285,0.102
Eloc,F,1.649700694,0.155
Elovl2,F,1.904026064,0.107
Elovl4,F,1.521406892,0.182
Elovl7,F,1.673424123,0.135
Elp4,F,1.64954837,0.151
Emb,F,1.515882595,0.182
Emp2,F,1.407201909,0.19
En1,F,1.692767773,0.124
Endod1,F,1.629441411,0.152
Enpep,F,1.412142857,0.19
Enpp5,F,1.621799765,0.162
Enpp6,F,1.681913286,0.13
Ensa,F,1.70424627,0.127
Ep400,F,1.809708144,0.101
Epc1,F,1.41920218,0.191
Epdr1,F,1.914743854,0.1
Epg5,F,1.5636169,0.149
Epha3,F,1.635996499,0.134
Epha8,F,-1.549028717,0.169
Ephb4,F,-1.642645893,0.138
Epm2aip1,F,1.947611146,0.104
Eps15,F,1.941351488,0.107
Ercc4,F,1.562653428,0.164
Ercc6,F,1.436207279,0.182
Ercc6l2,F,1.899865912,0.104
Erf,F,-1.641640587,0.155
Erg28,F,1.754412651,0.116
Eri1,F,1.56132466,0.174
Erich3,F,1.679945074,0.143
Erlec1,F,1.827159663,0.11
Erlin2,F,1.661406394,0.147
