"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"126","HFHS FOS+GOS","F","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",10,1.74,0.624,"lowest value 11.34020619 is an outlier",0.298
"127","HFHS Vehicle","F","triple_posit_cells_among_Lepr_cells",14,1.9,0.7,"highest value 11.76470588 is an outlier",0.299
"128","HFHS 1472","M","triple_posit_cells_among_Lepr_cells",13,1.87,0.685,"highest value 72 is an outlier",0.3
"129","Control Vehicle","M","Posit_Lepr_cells",11,1.78,0.651,"lowest value 48 is an outlier",0.306
"130","HFHS Vehicle","M","Pomc_puncta_double_Lepr_Pomc_cells",11,1.78,0.651,"highest value 64.47 is an outlier",0.307
"131","Control Vehicle","M","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",11,1.78,0.653,"lowest value 25.80645161 is an outlier",0.311
"132","HFHS 1472","M","Ghsr_puncta_double_Ghsr_Pomc_cells",13,1.85,0.69,"highest value 42.3 is an outlier",0.312
"133","HFHS 1472","F","triple_posit_cells_among_Ghsr_cells",10,1.73,0.632,"highest value 23.8267148 is an outlier",0.314
"134","HFHS FOS+GOS","F","Lepr_aver_puncta",10,1.72,0.633,"highest value 23.22 is an outlier",0.317
"135","HFHS FOS+GOS","M","Area",12,1.81,0.676,"highest value 145876.9423 is an outlier",0.32
"136","HFHS Vehicle","M","Lepr_aver_puncta",11,1.76,0.66,"highest value 16.79 is an outlier",0.328
"137","Control Vehicle","F","Posit_Ghsr_cells",13,1.84,0.696,"lowest value 57 is an outlier",0.329
"138","HFHS Vehicle","F","Ghsr_puncta_double_Lepr_Ghsr_cells",14,1.87,0.71,"highest value 34.67 is an outlier",0.329
"139","HFHS FOS+GOS","M","Posit_Ghsr_cells",12,1.8,0.68,"lowest value 47 is an outlier",0.33
"140","HFHS FOS+GOS","M","Lepr_puncta_double_Lepr_Ghsr_cells",12,1.8,0.68,"highest value 18.44 is an outlier",0.331
"141","HFHS Vehicle","M","double_Lepr_Ghsr_cells",11,1.75,0.663,"lowest value 16 is an outlier",0.336
"142","HFHS 1472","F","Area",10,1.7,0.641,"highest value 143202.3828 is an outlier",0.337
"143","HFHS Vehicle","M","Lepr_puncta_triple_cells",11,1.75,0.665,"highest value 29.5 is an outlier",0.342
"144","HFHS 1472","M","Posit_Ghsr_cells",13,1.82,0.701,"lowest value 42 is an outlier",0.345
"145","Control Vehicle","M","Ghsr_puncta_triple_cells",11,1.74,0.667,"lowest value 10.66 is an outlier",0.346
"146","HFHS 1472","F","Posit_Lepr_cells",10,1.69,0.646,"highest value 238 is an outlier",0.348
"147","Control Vehicle","M","ARC_cells",11,1.74,0.669,"lowest value 368 is an outlier",0.352
"148","HFHS Vehicle","M","Ghsr_puncta_double_Lepr_Ghsr_cells",11,1.74,0.669,"highest value 35.25 is an outlier",0.352
"149","Control Vehicle","M","double_Ghsr_Pomc_cells",11,1.73,0.67,"lowest value 8 is an outlier",0.355
"150","HFHS Vehicle","M","Area",11,1.73,0.671,"lowest value 91296.5114 is an outlier",0.357
"151","Control Vehicle","F","Posit_Lepr_cells",13,1.81,0.705,"lowest value 46 is an outlier",0.358
"152","HFHS 1472","M","Area",13,1.8,0.707,"highest value 153032.049 is an outlier",0.363
"153","HFHS FOS+GOS","F","Ghsr_puncta_triple_cells",10,1.66,0.661,"highest value 67.92 is an outlier",0.388
"154","HFHS FOS+GOS","F","ARC_cells",10,1.66,0.662,"highest value 573 is an outlier",0.389
