Sex,Age,Legend,name,n,G,U,grubbs,p_grubbs
F,PND77,HFHS 1472,bw_gain,13,1.91,0.67,lowest value 14.7 is an outlier,0.259
M,PND28,HFHS Vehicle,bw_gain,12,1.87,0.654,highest value 17.4 is an outlier,0.266
M,PND70,HFHS 1472,bw_gain,12,1.87,0.654,lowest value 20.5 is an outlier,0.266
F,PND14,Control Vehicle,bw_gain,12,1.86,0.657,highest value 6.9 is an outlier,0.273
F,PND84,HFHS 1472,bw_gain,13,1.89,0.677,highest value 20.3 is an outlier,0.277
F,PND56,HFHS FOS+GOS,bw_gain,12,1.84,0.664,lowest value 14.1 is an outlier,0.29
F,PND21,Control Vehicle,bw_gain,12,1.84,0.665,highest value 7.1 is an outlier,0.291
F,PND84,HFHS Vehicle,bw_gain,12,1.84,0.666,highest value 20.4 is an outlier,0.294
M,PND7,HFHS 1472,bw_gain,12,1.83,0.667,lowest value 0.7 is an outlier,0.296
M,PND14,HFHS 1472,bw_gain,12,1.83,0.668,lowest value 2.8 is an outlier,0.299
F,PND63,HFHS Vehicle,bw_gain,12,1.83,0.668,highest value 18.5 is an outlier,0.301
F,PND21,HFHS FOS+GOS,bw_gain,12,1.83,0.669,lowest value 6.6 is an outlier,0.303
F,PND84,HFHS FOS+GOS,bw_gain,12,1.83,0.669,highest value 21.6 is an outlier,0.303
M,PND63,HFHS Vehicle,bw_gain,12,1.8,0.677,lowest value 18.7 is an outlier,0.324
F,PND49,Control Vehicle,bw_gain,12,1.8,0.678,lowest value 11.5 is an outlier,0.325
M,PND7,Control Vehicle,bw_gain,12,1.8,0.679,highest value 3 is an outlier,0.328
F,PND21,HFHS Vehicle,bw_gain,12,1.8,0.679,lowest value 3.3 is an outlier,0.329
M,PND70,HFHS Vehicle,bw_gain,12,1.8,0.68,lowest value 19.8 is an outlier,0.331
F,PND63,HFHS 1472,bw_gain,13,1.83,0.697,lowest value 13.5 is an outlier,0.332
M,PND35,HFHS 1472,bw_gain,12,1.76,0.692,lowest value 15.4 is an outlier,0.366
F,PND35,HFHS Vehicle,bw_gain,12,1.76,0.692,lowest value 12.5 is an outlier,0.368
M,PND42,Control Vehicle,bw_gain,12,1.74,0.7,lowest value 11.7 is an outlier,0.391
M,PND42,HFHS Vehicle,bw_gain,12,1.74,0.701,highest value 22.5 is an outlier,0.394
F,PND70,HFHS 1472,bw_gain,13,1.77,0.719,highest value 20 is an outlier,0.404
F,PND70,Control Vehicle,bw_gain,12,1.71,0.71,lowest value 14.5 is an outlier,0.426
F,PND42,HFHS Vehicle,bw_gain,12,1.7,0.713,lowest value 12.1 is an outlier,0.437
M,PND49,HFHS 1472,bw_gain,12,1.69,0.718,lowest value 17.4 is an outlier,0.453
F,PND28,Control Vehicle,bw_gain,12,1.69,0.718,highest value 11.2 is an outlier,0.454
F,PND84,Control Vehicle,bw_gain,12,1.66,0.727,highest value 20.7 is an outlier,0.488
F,PND56,HFHS Vehicle,bw_gain,12,1.64,0.732,lowest value 14 is an outlier,0.51
M,PND77,HFHS Vehicle,bw_gain,12,1.64,0.734,lowest value 20.1 is an outlier,0.517
M,PND42,HFHS 1472,bw_gain,12,1.63,0.737,lowest value 16.3 is an outlier,0.528
M,PND14,HFHS FOS+GOS,bw_gain,13,1.66,0.752,lowest value 5.2 is an outlier,0.541
F,PND56,HFHS 1472,bw_gain,13,1.66,0.752,lowest value 12.8 is an outlier,0.541
F,PND28,HFHS 1472,bw_gain,13,1.65,0.754,lowest value 8 is an outlier,0.552
F,PND77,Control Vehicle,bw_gain,12,1.59,0.748,highest value 19.6 is an outlier,0.577
F,PND70,HFHS Vehicle,bw_gain,12,1.59,0.748,highest value 19 is an outlier,0.578
M,PND7,HFHS FOS+GOS,bw_gain,13,1.63,0.761,highest value 3.1 is an outlier,0.586
M,PND49,Control Vehicle,bw_gain,12,1.58,0.754,lowest value 15.2 is an outlier,0.605
F,PND77,HFHS FOS+GOS,bw_gain,12,1.57,0.756,lowest value 16.4 is an outlier,0.615
M,PND7,HFHS Vehicle,bw_gain,12,1.56,0.757,highest value 3 is an outlier,0.621
M,PND21,HFHS Vehicle,bw_gain,12,1.56,0.758,lowest value 4.3 is an outlier,0.628
F,PND14,HFHS 1472,bw_gain,13,1.59,0.772,lowest value 1.9 is an outlier,0.644
M,PND21,HFHS FOS+GOS,bw_gain,13,1.58,0.773,highest value 9.5 is an outlier,0.65
M,PND84,HFHS Vehicle,bw_gain,12,1.53,0.767,lowest value 20.9 is an outlier,0.671
F,PND21,HFHS 1472,bw_gain,13,1.56,0.779,lowest value 3.3 is an outlier,0.684
F,PND77,HFHS Vehicle,bw_gain,12,1.51,0.773,lowest value 15.2 is an outlier,0.704
F,PND49,HFHS 1472,bw_gain,13,1.52,0.792,lowest value 12 is an outlier,0.76
M,PND49,HFHS Vehicle,bw_gain,12,1.46,0.79,highest value 22.3 is an outlier,0.802
M,PND56,HFHS Vehicle,bw_gain,12,1.43,0.796,lowest value 18.7 is an outlier,0.845
F,PND35,HFHS FOS+GOS,bw_gain,12,1.4,0.807,lowest value 14.4 is an outlier,0.918
M,PND35,Control Vehicle,bw_gain,12,1.39,0.807,lowest value 7.9 is an outlier,0.92
F,PND7,HFHS 1472,bw_gain,13,1.38,0.828,highest value 2.9 is an outlier,1
