symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
2310057M21Rik,F,1.992294757,0.089,1.237622629,0.753,0.308819845,0.83,not restored,not restored
2310057M21Rik,M,-0.193779202,0.852,-0.22177524,1,-0.217987966,1,not restored,not restored
2310061I04Rik,F,0.635696479,0.544,0.101973758,1,0.210554551,1,not restored,not restored
2310061I04Rik,M,1.103579382,0.302,-0.10987891,1,0.288975713,1,not restored,not restored
2410002F23Rik,F,-0.985911108,0.351,0.968650553,0.712,1.566214053,0.495,not restored,not restored
2410002F23Rik,M,0.468012615,0.652,0.542085879,0.98,1.141549871,0.843,not restored,not restored
2410004B18Rik,F,0.84959801,0.428,0.205907908,0.843,2.318198888,0.14,not restored,not restored
2410004B18Rik,M,-0.597132238,0.564,0.807362448,1,0.826250995,1,not restored,not restored
2410004P03Rik,F,-0.510608936,0.621,0.439398744,1,-0.118837613,1,not restored,not restored
2410004P03Rik,M,1.19951928,0.262,-1.075526252,0.622,-1.794435283,0.327,not restored,not restored
2410039M03Rik,F,-0.896341219,0.391,0.141173496,1,0.378106613,1,not restored,not restored
2410039M03Rik,M,0.40949522,0.692,0.396262301,1,-0.307643984,1,not restored,not restored
2510002D24Rik,F,0.971942221,0.354,-1.326121171,0.651,-0.885116078,0.804,not restored,not restored
2510002D24Rik,M,-0.0275862,0.979,0.491843637,1,0.45370521,1,not restored,not restored
2510009E07Rik,F,1.683032359,0.14,-0.040457537,0.969,1.045454609,0.648,not restored,not restored
2510009E07Rik,M,-1.270102497,0.251,0.765102152,0.96,-0.305328279,0.96,not restored,not restored
2510039O18Rik,F,-0.736633632,0.489,-0.479300789,0.642,1.088450201,0.62,not restored,not restored
2510039O18Rik,M,1.167848545,0.291,0.136859467,1,0.328883821,1,not restored,not restored
2610005L07Rik,F,-1.280334452,0.225,-0.430777288,1,-0.530601455,1,not restored,not restored
2610005L07Rik,M,1.369168803,0.198,-1.362410943,0.597,-0.543490004,0.706,not restored,not restored
2610008E11Rik,F,1.68646686,0.138,-0.067637029,1,0.499419846,1,not restored,not restored
2610008E11Rik,M,-1.562638963,0.17,0.042685224,1,-0.409103328,1,not restored,not restored
2610021A01Rik,F,1.784476505,0.114,-0.900655881,0.778,-1.849566343,0.296,not restored,not restored
2610021A01Rik,M,-1.193720263,0.279,-1.207595144,0.813,-1.04076041,0.813,not restored,not restored
2610042L04Rik,F,1.21754479,0.26,0.066623349,0.948,1.48225965,0.513,not restored,not restored
2610042L04Rik,M,-1.148069528,0.281,0.020736788,0.984,0.947764737,0.873,not restored,not restored
2610318N02Rik,F,-0.593075234,0.566,0.800635739,0.892,1.388230064,0.627,not restored,not restored
2610318N02Rik,M,-0.0660544,0.949,0.791939977,0.449,2.237382042,0.175,not restored,not restored
2700049A03Rik,F,2.896212191,0.018,-1.023821432,0.54,-2.106339164,0.196,not restored,not restored
2700049A03Rik,M,0.048355143,0.963,-0.129661277,1,-0.721246612,1,not restored,not restored
