"Legend","name","n","G","U","grubbs","p_grubbs"
"Control Vehicle","PND16",7,1.34,0.651,"highest value 10 is an outlier",0.569
"HFHS FOS+GOS","PND4",7,1.34,0.653,"lowest value 4 is an outlier",0.573
"HFHS FOS+GOS","PND13",7,1.32,0.66,"lowest value 5.5 is an outlier",0.592
"HFHS 1472","PND8",7,1.31,0.664,"lowest value 9 is an outlier",0.603
"Control Vehicle","PND6_5",7,1.31,0.666,"highest value 11 is an outlier",0.609
"HFHS Vehicle","PND1",7,1.31,0.667,"highest value 5.2 is an outlier",0.612
"HFHS Vehicle","PND11",7,1.3,0.673,"highest value 13 is an outlier",0.628
"Control Vehicle","PND17",7,1.29,0.674,"lowest value 6 is an outlier",0.634
"HFHS FOS+GOS","PND7",7,1.29,0.678,"lowest value 3.8 is an outlier",0.643
"HFHS Vehicle","PND21_5",7,1.28,0.682,"highest value 4 is an outlier",0.656
"HFHS FOS+GOS","PND6_5",7,1.27,0.687,"lowest value 4 is an outlier",0.672
"HFHS Vehicle","PND21",7,1.25,0.697,"highest value 16 is an outlier",0.702
"HFHS Vehicle","PND6_5",7,1.24,0.7,"lowest value 3.5 is an outlier",0.711
"HFHS Vehicle","PND3_5",7,1.2,0.722,"lowest value 4 is an outlier",0.783
"Control Vehicle","PND7",7,1.15,0.741,"highest value 9 is an outlier",0.851
"Control Vehicle","PND5",5,NA,NA,NA,NA
"Control Vehicle","PND22_5",6,NA,NA,NA,NA
"Control Vehicle","PND23",3,NA,NA,NA,NA
"HFHS Vehicle","PND11_5",6,NA,NA,NA,NA
"HFHS Vehicle","PND12",6,NA,NA,NA,NA
"HFHS Vehicle","PND22",6,NA,NA,NA,NA
"HFHS Vehicle","PND22_5",6,NA,NA,NA,NA
"HFHS Vehicle","PND23",4,NA,NA,NA,NA
"HFHS FOS+GOS","PND11_5",6,NA,NA,NA,NA
"HFHS FOS+GOS","PND12",6,NA,NA,NA,NA
"HFHS FOS+GOS","PND22",5,NA,NA,NA,NA
"HFHS FOS+GOS","PND22_5",4,NA,NA,NA,NA
"HFHS FOS+GOS","PND23",1,NA,NA,NA,NA
"HFHS 1472","PND23",4,NA,NA,NA,NA
