Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Lepr_aver_puncta,Ghsr_aver_puncta,Pomc_aver_puncta,ARC_cells,Posit_Lepr_cells,Posit_Ghsr_cells,Posit_Pomc_cells,Lepr_puncta_triple_cells,Ghsr_puncta_triple_cells,Pomc_puncta_triple_cells,double_Ghsr_Pomc_cells,double_Lepr_Ghsr_cells,double_Lepr_Pomc_cells,N_triple_cells,Lepr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Ghsr_Pomc_cells,Pomc_puncta_double_Ghsr_Pomc_cells,Lepr_puncta_double_Lepr_Pomc_cells,Pomc_puncta_double_Lepr_Pomc_cells,double_Ghsr_Pomc_cells_among_Pomc_posit_cells,double_Ghsr_Pomc_cells_among_Ghsr_posit_cells,double_Lepr_Ghsr_cells_among_Lepr_posit_cells,double_Lepr_Ghsr_cells_among_Ghsr_posit_cells,double_Lepr_Pomc_cells_among_Pomc_posit_cells,double_Lepr_Pomc_cells_among_Lepr_posit_cells,triple_posit_cells_among_Pomc_cells,triple_posit_cells_among_Lepr_cells,triple_posit_cells_among_Ghsr_cells
113,4,-1.79,Control,Vehicle,Control Vehicle,F,1,104,111285.0579,17.63,29.39,25.97,451,127,204,29,34.31,32.64,22.29,16,96,24,13,20.18,40.2,27.71,22.41,23.19,23.71,55.17241379,7.843137255,75.59055118,47.05882353,82.75862069,18.8976378,44.82758621,10.23622047,6.37254902
113,5,-1.91,Control,Vehicle,Control Vehicle,F,1,104,115826.1794,16.86,23.17,27.18,434,118,217,35,26.04,34.17,25.31,22,101,25,19,18.75,33.78,30.2,24.72,20.75,29.7,62.85714286,10.13824885,85.59322034,46.5437788,71.42857143,21.18644068,54.28571429,16.10169492,8.755760369
207,2,-1.55_-1.67,Control,Vehicle,Control Vehicle,F,2,122,119722.6232,24.46,29.43,33.87,524,155,286,208,32.46,48.23,38.18,149,130,120,103,27.26,43.16,39.03,33.75,29.49,41.5,71.63461538,52.0979021,83.87096774,45.45454545,57.69230769,77.41935484,49.51923077,66.4516129,36.01398601
207,3,-1.67_-1.79,Control,Vehicle,Control Vehicle,F,2,122,150330.2259,22.02,27.73,29.4,669,178,279,139,34.86,57.57,25.92,79,128,82,65,25.16,45.02,49.32,25.67,31.42,33.8,56.83453237,28.31541219,71.91011236,45.8781362,58.99280576,46.06741573,46.76258993,36.51685393,23.29749104
402,2,-1.43_-1.55,Control,Vehicle,Control Vehicle,F,4,129,106314.5491,13.64,26.19,42.73,435,112,201,87,23.67,48.96,52.33,48,87,46,36,15.48,40.08,41.39,45.62,20,58.59,55.17241379,23.88059701,77.67857143,43.28358209,52.87356322,41.07142857,41.37931034,32.14285714,17.91044776
402,3,-1.67_-1.79,Control,Vehicle,Control Vehicle,F,4,129,111677.4444,10.75,23.69,48.79,454,101,160,87,12.04,14.27,69.87,25,68,35,13,12.01,33.58,12.27,54.04,9.67,74.88,28.73563218,15.625,67.32673267,42.5,40.22988506,34.65346535,14.94252874,12.87128713,8.125
402,5,-1.91,Control,Vehicle,Control Vehicle,F,4,129,125206.3143,12.07,26.61,44.87,590,172,305,88,17.28,28.47,45.32,47,143,41,24,12.8,39.33,20.54,33.97,13.8,69.42,53.40909091,15.40983607,83.13953488,46.8852459,46.59090909,23.8372093,27.27272727,13.95348837,7.868852459
218,1,-1.43,HFHS,Vehicle,HFHS Vehicle,F,2,123,104827.4137,9.16,9.97,29.13,356,61,82,24,3.03,4.47,17.09,5,38,7,2,11.31,13.21,4.5,13.7,3.44,30.66,20.83333333,6.097560976,62.29508197,46.34146341,29.16666667,11.47540984,8.333333333,3.278688525,2.43902439
218,3,-1.55_-1.67,HFHS,Vehicle,HFHS Vehicle,F,2,123,106323.4696,9.64,12.82,35.39,431,91,135,35,9.1,13.79,37.48,11,68,17,10,10.93,17.23,13.54,34.72,8.03,40.71,31.42857143,8.148148148,74.72527473,50.37037037,48.57142857,18.68131868,28.57142857,10.98901099,7.407407407
218,4,not know,HFHS,Vehicle,HFHS Vehicle,F,2,123,142244.6293,9.76,13.06,6.66,524,50,59,7,9.03,9.82,5.76,3,33,4,2,10.18,16.34,9.71,5.32,7.12,7.37,42.85714286,5.084745763,66,55.93220339,57.14285714,8,28.57142857,4,3.389830508
