"genus","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Defluviitaleaceae UCG-011","Male","week 5",1.31790584561443,0.402188585902523,0.922545804353599,1,-0.542506970708495,1,"not restored","not restored"
"Defluviitaleaceae UCG-011","Male","week 10",0.983272795219273,0.905310013330193,1.75486172209344,0.24798281643747,-0.218073085571671,1,"not restored","not restored"
"Desulfovibrio","Female","week 5",0.609894792720317,0.548179921450878,-2.22754551276901,0.102964072631926,0.699955405740736,0.500405086593504,"not restored","not restored"
"Desulfovibrio","Female","week 10",1.34741585104556,0.191560691592467,-3.0553723324229,0.00870443954809532,-2.35909643816929,0.024205006411327,"not restored","not restored"
"Desulfovibrio","Male","week 5",0.438762741790148,0.66968508550899,-2.45326820560029,0.0604832686063336,1.26284295391112,0.216052363194485,"not restored","not restored"
"Desulfovibrio","Male","week 10",1.14723946156366,0.263657398820981,-1.96080047305504,0.116334336969443,-0.205331100719215,0.838540215186535,"not restored","not restored"
"Dorea","Female","week 5",5.64108569650326,2.34455422278586e-05,-0.37978063151358,0.869691784803174,0.811719684544439,0.869691784803174,"not restored","not restored"
"Dorea","Female","week 10",0.239224321675402,0.821142078945583,1.46667005445793,0.460148817259729,-0.245638189511717,0.807856387253343,"not restored","not restored"
"Dorea","Male","week 5",3.27443366124291,0.0253091581769777,0.466559590763984,1,0.39188900098636,1,"not restored","not restored"
"Dorea","Male","week 10",2.42690432363065,0.102190188969859,-0.900807273006571,0.785403381215491,-0.0564849241599057,0.956156317978946,"not restored","not restored"
"Dubosiella","Female","week 5",-0.896397685100381,0.456046031740698,1.67062923055069,0.374840225516387,-0.259458111721901,1,"not restored","not restored"
"Dubosiella","Female","week 10",1.21678761123297,0.516762924789161,0.478288394956611,0.643346966255654,-1.07325350379275,0.61938608761231,"not restored","not restored"
"Dubosiella","Male","week 5",0.972071224871021,0.722740725711042,1.70964697420397,0.346286499121654,-0.462381872293675,0.936562558295934,"not restored","not restored"
"Dubosiella","Male","week 10",-0.987248170748621,0.405290419791095,2.6384502877762,0.0665412486084634,-0.0944754259976415,1,"not restored","not restored"
"Enterococcus","Female","week 5",-1.23865121037008,0.273976331617896,0.869921941196782,0.782336154900808,1.81163918519312,0.239169993915808,"not restored","not restored"
"Enterococcus","Female","week 10",-1.72438321220702,0.125398444096917,0.202345987113289,1,0.747558194472135,1,"not restored","not restored"
"Enterococcus","Male","week 5",-1.64546594144718,0.124017444280536,0.607655544736308,1,0.310308442008424,1,"not restored","not restored"
