"order","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Deferribacterales","Female","week 10",1.13201434723401,0.542457857492978,-0.00612545797650316,0.0206307707852097,0.0618773658141823,NA,1.13201434723401,-1.77014476388,0.173548065151844,-0.0230549201996667,0.00164126882628947,0.0876923080284784,NA,-1.77014476388,-0.978063822600802,0.336719340260385,-0.0180722045141004,0.00640435835408549,0.0876923080284784,NA,-0.978063822600802,"not restored","not restored"
"Deferribacterales","Male","week 5",1.95460891825529,0.128343081075308,-5.84623897097863e-05,0.00187333653632721,0.156959403790328,NA,1.95460891825529,1.00296396407969,0.927182967738943,-0.00248709113847548,0.00728739606429755,0.0632698558222533,NA,1.00296396407969,-0.402287590224027,0.927182967738943,-0.00617187851216972,0.00413909754878623,0.0632698558222533,NA,-0.402287590224027,"not restored","not restored"
"Deferribacterales","Male","week 10",-0.706009498342737,0.488544616048735,-0.00872450358943435,0.00431790007754865,0.0243570039996675,NA,-0.706009498342737,-1.50138972929697,0.330449268831419,-0.0115927890054084,0.00228590215349341,0.0977463319022287,0.500898535204617,-1.50138972929697,-1.49097954880696,0.330449268831419,-0.0115923647147121,0.00226510024600037,0.0977463319022287,0.500898535204617,-1.49097954880696,"not restored","not restored"
"Desulfovibrionales","Female","week 5",1.8425687197238,0.109204042090884,-0.00264845690049316,0.0208406327164818,0.193713964781731,NA,1.8425687197238,-3.45715714606271,0.0177457869404991,-0.0322657932911287,-0.00639031563138718,0.455871129915459,0.656345640553893,-3.45715714606271,0.801198837520291,0.443282857439271,-0.00800416432451359,0.0168214770788877,0.455871129915459,0.656345640553893,0.801198837520291,"not restored","not restored"
"Desulfovibrionales","Female","week 10",1.15515104972604,0.26042132580283,-0.00649178376172359,0.0228166147302949,0.0548349405064605,NA,1.15515104972604,-3.56067236761129,0.00223475533543785,-0.0333926463902399,-0.00912551574214848,0.272072293132232,NA,-3.56067236761129,-2.57390369331789,0.0145864673774375,-0.02696706682646,-0.00317118745847097,0.272072293132232,NA,-2.57390369331789,"not restored","not restored"
"Desulfovibrionales","Male","week 5",0.86453242366887,0.407483112941564,-0.00535343957843909,0.01214714339055,0.0411917876895431,NA,0.86453242366887,-2.05714977241657,0.153353133203646,-0.0138611095034053,0.000893727291140757,0.147281107869737,0.724626322570259,-2.05714977241657,1.85173214220759,0.153353133203646,-0.00149600760618483,0.0137491145872141,0.147281107869737,0.724626322570259,1.85173214220759,"not restored","not restored"
"Desulfovibrionales","Male","week 10",1.24282032572155,0.227017701280182,-0.00371040562572019,0.0148080587450792,0.0629304292342624,NA,1.24282032572155,-2.40451878401749,0.0435992761774111,-0.0185671942100263,-0.00155720648267522,0.196651107870454,NA,-2.40451878401749,0.207411243431393,0.836928523908262,-0.00776686915507527,0.00953229202011148,0.196651107870454,NA,0.207411243431393,"not restored","not restored"
"Enterobacterales","Female","week 5",-0.265243793626924,0.793486397540712,-0.00111014558008895,0.000859406780561056,0.00470887972338846,NA,-0.265243793626924,-0.14990070080673,1,-4.42954125270523e-05,3.82097374312644e-05,0.00180703756428897,NA,-0.14990070080673,0.101325473939511,1,-3.84346116945768e-05,4.24683439995338e-05,0.00180703756428897,NA,0.101325473939511,"not restored","not restored"
"Enterobacterales","Female","week 10",-0.470587920792664,0.653542239943188,-0.00252290384662426,0.00169862921008991,0.0139486760220018,0.663913454729161,-0.470587920792664,-0.792960265549819,0.87001174292071,-0.00108871921911682,0.000482649853952205,0.0215956199375228,NA,-0.792960265549819,-0.0851848941727498,0.932810608803741,-0.000805220563100616,0.000741338075039872,0.0215956199375228,NA,-0.0851848941727498,"not restored","not restored"
"Enterobacterales","Male","week 5",-1.95205485303253,0.12788075516008,-0.00198352164375423,6.07506655238949e-05,0.149357035361185,NA,-1.95205485303253,-1.37634354074495,0.401350883102097,-8.68888155242341e-05,2.09010200162667e-05,0.0560400171846147,NA,-1.37634354074495,-1.10664175297417,0.401350883102097,-8.14092164894806e-05,2.73857538168901e-05,0.0560400171846147,NA,-1.10664175297417,"not restored","not restored"
"Enterobacterales","Male","week 10",0.0898129421554649,0.93019458068871,-9.16388182463292e-05,9.93459024236879e-05,0.000368946375170234,NA,0.0898129421554649,-1.55927058445442,0.295578510836574,-0.000112695639835643,1.9369048506332e-05,0.0884654314237484,NA,-1.55927058445442,-0.2312845882097,0.821147111354561,-7.36142972262541e-05,5.95433100305794e-05,0.0884654314237484,NA,-0.2312845882097,"not restored","not restored"
"Erysipelotrichales","Female","week 5",-3.97705311801536,0.0082274593508067,-0.0520861967560245,-0.0120454305744184,0.486667639991041,0.618304661958781,-3.97705311801536,1.18823731049979,0.562047628823407,-0.0053936592503447,0.0178967908696044,0.0890856622647962,0.838910821178045,1.18823731049979,0.105957591184772,0.917470457219162,-0.0108291955561243,0.0119285515080542,0.0890856622647962,0.838910821178045,0.105957591184772,"not restored","not restored"
"Erysipelotrichales","Female","week 10",0.256635551083666,0.805537587454923,-0.036417962220124,0.0450901783730038,0.00467157901416961,0.822830606753212,0.256635551083666,-0.916941811641519,0.762405504382343,-0.0554770241540311,0.023456774699358,0.15054876266844,0.627595756550356,-0.916941811641519,0.915897950825881,0.762405504382343,-0.0222946624833897,0.0534416662114754,0.15054876266844,0.627595756550356,0.915897950825881,"not restored","not restored"
"Erysipelotrichales","Male","week 5",0.355399426512247,0.725675238457922,-0.0126424114785147,0.0178715935630838,0.00546169099953385,NA,0.355399426512247,-1.35768191094951,0.39353542583972,-0.0244796834717868,0.00553865828536219,0.0778138699513494,NA,-1.35768191094951,-0.980880456557509,0.39353542583972,-0.0220674329453718,0.00820436128417201,0.0778138699513494,NA,-0.980880456557509,"not restored","not restored"
"Erysipelotrichales","Male","week 10",0.898386070742626,0.389034071996764,-0.0221379305845936,0.0524033540651197,0.0824751105077339,NA,0.898386070742626,-0.603200750002065,0.807519526328271,-0.0408493672178898,0.0233245912923283,0.030696829203103,0.46227289876595,-0.603200750002065,-0.868201563185207,0.807519526328271,-0.0448443771562754,0.0194651640362892,0.030696829203103,0.46227289876595,-0.868201563185207,"not restored","not restored"
"Eubacteriales","Female","week 10",0.994149249779877,0.80797594402678,-7.35367161569555e-06,1.32005464772204e-05,0.0430594387714037,NA,0.994149249779877,-1.32888242741399,0.614959893335435,-1.13269547430482e-05,5.06858532518317e-06,0.0615230655234664,NA,-1.32888242741399,-1.29452306335184,0.614959893335435,-1.09069213763665e-05,4.92653374876068e-06,0.0615230655234664,NA,-1.29452306335184,"not restored","not restored"
"Lachnospirales","Female","week 5",3.48101170934072,0.00459353767799138,0.0463003676741842,0.184270941453148,0.389175109831531,NA,3.48101170934072,0.751355407270109,0.664197867347114,-0.074672677753282,0.149689494170246,0.0357319056363926,0.433776173114026,0.751355407270109,1.0167796749327,0.664197867347114,-0.0600364346619094,0.162043124470269,0.0357319056363926,0.433776173114026,1.0167796749327,"not restored","not restored"
"Lachnospirales","Female","week 10",0.0910558567957415,0.928300324117919,-0.0638377639192554,0.0696887261744442,0.000458627773697485,NA,0.0910558567957415,-0.272424205548618,0.906222618877747,-0.106358974278802,0.0835184538285752,0.0302774772341317,NA,-0.272424205548618,-0.782303807158215,0.906222618877747,-0.122822480903867,0.0593322332526032,0.0302774772341317,NA,-0.782303807158215,"not restored","not restored"
"Lachnospirales","Male","week 5",2.2351645682509,0.0984011555079152,0.00031331623003078,0.147452783614965,0.356733599282892,NA,2.2351645682509,2.46873446555323,0.0720645817211309,0.0088177913916208,0.207575813589492,0.214858572308534,0.723958733217608,2.46873446555323,0.116761525928126,0.909334732925799,-0.0936787933767553,0.104056813868798,0.214858572308534,0.723958733217608,0.116761525928126,"not restored","not restored"
"Lachnospirales","Male","week 10",0.581346769918877,0.566955341993941,-0.0475805282999147,0.0846262043272114,0.0149906781630638,NA,0.581346769918877,0.450012799340286,1,-0.0602097136451086,0.0907968545194012,0.00895890273915393,0.380024530043299,0.450012799340286,0.514073302310452,1,-0.058227473043513,0.0938202795042659,0.00895890273915393,0.380024530043299,0.514073302310452,"not restored","not restored"
