"genus","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"HT002",-2.96475526652627,0.0146734744785483,-0.0151856307091469,-0.00211976776787906,0.383407032517938,0.439863185292097,-2.96475526652627,1.81176579334665,0.260222651806166,-8.903770203251e-05,0.00120480445161508,0.203835729046613,NA,1.81176579334665,-0.268196124640694,1,-0.000729504686509904,0.000564337467137564,0.203835729046613,NA,-0.268196124640694,"not restored","not restored"
"Harryflintia",0.485363319355006,0.636159251112846,-0.000370852109677166,0.000583433600706695,0.0177988116388401,NA,0.485363319355006,-2.97890925138168,0.0160917042683248,-0.000980155843317162,-0.000169408046439182,0.32223832718009,NA,-2.97890925138168,-0.799347260967012,0.434511171819505,-0.000559608329406819,0.000251139467471159,0.32223832718009,NA,-0.799347260967012,"not restored","not restored"
"Incertae Sedis",-0.796581327635,0.441169732678518,-0.0120405377392344,0.00559348095907696,0.0465392838503621,NA,-0.796581327635,-2.16443200243377,0.0882378232279844,-0.0102815973409673,-0.000153090189426767,0.194679949234157,NA,-2.16443200243377,-0.746715479187318,0.4648777541385,-0.00686420448451992,0.00326430266701453,0.194679949234157,NA,-0.746715479187318,"not restored","not restored"
"Intestinimonas",5.27640751365898,0.00190704162884711,0.00896404747237226,0.0232219944936816,0.318800618578694,0.863046536620864,5.27640751365898,-3.34600119848042,0.00719317366241236,-0.0369590658123003,-0.00844824876980462,0.427764370954884,NA,-3.34600119848042,0.00514869790438978,0.995948585571624,-0.0142204730069481,0.0142903440355475,0.427764370954884,NA,0.00514869790438978,"restored","not restored"
"Jeotgalicoccus",-0.5957760238917,0.562393699014095,-0.00059677184573802,0.000340487130280284,0.0265780924185196,NA,-0.5957760238917,-1.00775357037308,0.39997976569352,-0.000240580487060029,8.78261518112426e-05,0.0690308709074851,0.447080351027563,-1.00775357037308,-1.51114031849273,0.39997976569352,-0.000277482270430971,4.88934612341654e-05,0.0690308709074851,0.447080351027563,-1.51114031849273,"not restored","not restored"
"Klebsiella",-1.20495719352413,0.392203489732647,-0.000190460932852443,5.9269536393666e-05,0.103832362255982,NA,-1.20495719352413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Lachnoclostridium",3.0001482694681,0.0326826268152548,0.00555932180457049,0.0414811256406679,0.349997722878597,0.509632465500065,3.0001482694681,-1.15481388311283,0.531946768179578,-0.031559553479562,0.00936077900809954,0.0555431343081538,0.254429559593643,-1.15481388311283,-0.304145833713644,0.765118069472886,-0.023261662282985,0.0174437734392496,0.0555431343081538,0.254429559593643,-0.304145833713644,"not restored","not restored"
"Lachnospiraceae FCS020 group",0.923856905791597,0.373764903941527,-0.00161632194661158,0.00399608710639892,0.0616097642322298,NA,0.923856905791597,-1.22499344328298,0.472734038976671,-0.00466915535447757,0.00122969050743911,0.0706937649792566,NA,-1.22499344328298,-0.737462860796955,0.472734038976671,-0.00398472544609254,0.00191412041582414,0.0706937649792566,NA,-0.737462860796955,"not restored","not restored"
"Lachnospiraceae NK4A136 group",0.195772663109425,0.84806407420969,-0.0213315020543582,0.0255433430808041,0.00293955933228263,NA,0.195772663109425,-2.46641507112554,0.0511321661628118,-0.0351732477609732,-0.00263078806299047,0.222080115061244,0.312224036801094,-2.46641507112554,-1.64310353598261,0.120505650907004,-0.0287542293486685,0.00368150867239365,0.222080115061244,0.312224036801094,-1.64310353598261,"not restored","not restored"
"Lachnospiraceae UCG-001",NA,NA,NA,NA,NA,NA,NA,1.41485321867954,0.522535716303351,-0.000411422414121563,0.00210834350589288,0.117740974280033,NA,1.41485321867954,2.06624566390648e-16,1,-0.00125988296000722,0.00125988296000722,0.117740974280033,NA,2.06624566390648e-16,"not restored","not restored"
