"Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Peptococcales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00214070973158512,0.29,"0.0021","**","Wilcoxon","Abundance",0.837580951443062,7,7,"large"
"Peptostreptococcales-Tissierellales","Abundance","Control Vehicle","HFHS Vehicle",0.00493790547090731,0.6,"0.0049","**","Wilcoxon","Abundance",0.768361248857824,7,7,"large"
"Peptostreptococcales-Tissierellales","Abundance","Control Vehicle","HFHS FOS+GOS",0.295820883688297,1,"0.2958","ns","Wilcoxon","Abundance",0.296867688682394,7,7,"small"
"Peptostreptococcales-Tissierellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00329451387658258,0.41,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Peptostreptococcales-Tissierellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00192951452998338,0.26,"0.0019","**","Wilcoxon","Abundance",0.846008473408306,7,7,"large"
"Peptostreptococcales-Tissierellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Peptostreptococcales-Tissierellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00296185493214668,0.38,"0.0030","**","Wilcoxon","Abundance",0.811477515310008,7,7,"large"
"Pseudomonadales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Pseudomonadales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Pseudomonadales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Rickettsiales","Abundance","Control Vehicle","HFHS Vehicle",0.233536809732991,1,"0.2335","ns","Wilcoxon","Abundance",0.338286881228898,7,7,"moderate"
"Rickettsiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Rickettsiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.336906503648492,1,"0.3369","ns","Wilcoxon","Abundance",0.278037254679016,7,7,"small"
"Rickettsiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0307212324156618,1,"0.0307","*","Wilcoxon","Abundance",0.598849471616342,7,7,"large"
"Rickettsiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0182335902277282,7,7,"small"
"Rickettsiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0754126204649279,1,"0.0754","ns","Wilcoxon","Abundance",0.498935036064582,7,7,"moderate"
"Saccharimonadales","Abundance","Control Vehicle","HFHS Vehicle",0.0282080609586036,1,"0.0282","*","Wilcoxon","Abundance",0.604244783998431,7,7,"large"
"Saccharimonadales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0560987502411349,1,"0.0561","ns","Wilcoxon","Abundance",0.528774116604119,7,7,"large"
"Saccharimonadales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00372197306710855,0.46,"0.0037","**","Wilcoxon","Abundance",0.794183708472564,7,7,"large"
"Saccharimonadales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.722148138236639,1,"0.7221","ns","Wilcoxon","Abundance",0.118794056205853,7,7,"small"
"Saccharimonadales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.172954917988421,1,"0.1730","ns","Wilcoxon","Abundance",0.392232270276368,7,7,"moderate"
"Saccharimonadales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Staphylococcales","Abundance","Control Vehicle","HFHS Vehicle",0.137322858274425,1,"0.1373","ns","Wilcoxon","Abundance",0.414371497179578,7,7,"moderate"
"Staphylococcales","Abundance","Control Vehicle","HFHS FOS+GOS",0.136455274036041,1,"0.1365","ns","Wilcoxon","Abundance",0.417883794459227,7,7,"moderate"
"Staphylococcales","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0174628052166114,7,7,"small"
"Staphylococcales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0140470283674153,1,"0.0140","*","Wilcoxon","Abundance",0.674642838425944,7,7,"large"
"Staphylococcales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.199349546367441,1,"0.1993","ns","Wilcoxon","Abundance",0.360155177198622,7,7,"moderate"
"Staphylococcales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0895009308722635,1,"0.0895","ns","Wilcoxon","Abundance",0.472728397900336,7,7,"moderate"
"Verrucomicrobiales","Abundance","Control Vehicle","HFHS Vehicle",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Verrucomicrobiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Verrucomicrobiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Verrucomicrobiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Verrucomicrobiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Verrucomicrobiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Xanthomonadales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Xanthomonadales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Xanthomonadales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
