"sex","timepoint","Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0530979572855834,1,"0.05310","ns","Wilcoxon","Abundance",0.400693842672377,12,12,"moderate"
"Female","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.64383820081329,1,"0.64384","ns","Wilcoxon","Abundance",0.0979070927796758,12,13,"small"
"Female","week 10","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00135394144309263,1,"0.00135","**","Wilcoxon","Abundance",0.659966329107444,12,12,"large"
"Female","week 10","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.764817539583927,1,"0.76482","ns","Wilcoxon","Abundance",0.0652713951864505,12,13,"small"
"Female","week 10","Bacteroidaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Male","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0404041195882237,1,"0.04040","*","Wilcoxon","Abundance",0.424264068711929,12,12,"moderate"
"Male","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.806636280193047,1,"0.80664","ns","Wilcoxon","Abundance",0.0543928293220421,12,13,"small"
"Male","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.340778613562955,1,"0.34078","ns","Wilcoxon","Abundance",0.200346921336189,12,12,"small"
"Male","week 10","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0413771156083874,1,"0.04138","*","Wilcoxon","Abundance",0.41338550284752,12,13,"moderate"
"Male","week 10","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.236584093321876,1,"0.23658","ns","Wilcoxon","Abundance",0.247487373415292,12,12,"small"
"Male","week 10","Bacteroidaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,13,12,"small"
"Male","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS Vehicle",0.370844333304221,1,"0.37084","ns","Wilcoxon","Abundance",0.188561808316413,12,12,"small"
"Male","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.430289691645685,1,"0.43029","ns","Wilcoxon","Abundance",0.163178487966126,12,13,"small"
"Male","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.885233914473202,1,"0.88523","ns","Wilcoxon","Abundance",0.0353553390593274,12,12,"small"
"Male","week 5","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.121094567038586,1,"0.12109","ns","Wilcoxon","Abundance",0.315478410067844,12,13,"moderate"
"Male","week 5","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.340778613562955,1,"0.34078","ns","Wilcoxon","Abundance",0.200346921336189,12,12,"small"
"Male","week 5","Bacteroidaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.314286985518924,1,"0.31429","ns","Wilcoxon","Abundance",0.20669275142376,13,12,"small"
"Female","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS Vehicle",0.885233914473202,1,"0.88523","ns","Wilcoxon","Abundance",0.0353553390593274,12,12,"small"
"Female","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0463865932813986,1,"0.04639","*","Wilcoxon","Abundance",0.412478955692153,12,12,"moderate"
"Female","week 5","Bacteroidaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Female","week 5","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0303828219765775,1,"0.03038","*","Wilcoxon","Abundance",0.44783429475148,12,12,"moderate"
"Female","week 5","Bacteroidaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.121094567038586,1,"0.12109","ns","Wilcoxon","Abundance",0.315478410067844,12,13,"moderate"
"Female","week 5","Bacteroidaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.264827710046756,1,"0.26483","ns","Wilcoxon","Abundance",0.228449883152577,12,13,"small"
"Male","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",2.92477541231384e-05,0.026,"2.9e-05","****","Wilcoxon","Abundance",0.859050588986762,12,12,"large"
"Male","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",3.6584553538971e-05,0.032,"3.7e-05","****","Wilcoxon","Abundance",0.848528137423857,12,12,"large"
"Male","week 5","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.59241531758704e-05,0.023,"2.6e-05","****","Wilcoxon","Abundance",0.846818800163073,12,13,"large"
"Male","week 5","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.000627633492804342,0.5,"0.00063","***","Wilcoxon","Abundance",0.70394423264193,12,12,"large"
"Male","week 5","Bifidobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",3.16785710013428e-05,0.028,"3.2e-05","****","Wilcoxon","Abundance",0.837649571559449,13,12,"large"
"Female","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",0.112351197690464,1,"0.11235","ns","Wilcoxon","Abundance",0.329983164553722,12,12,"moderate"
"Female","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00165203945623417,1,"0.00165","**","Wilcoxon","Abundance",0.648181216087669,12,12,"large"
"Female","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.64383820081329,1,"0.64384","ns","Wilcoxon","Abundance",0.0979070927796758,12,13,"small"
"Female","week 10","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000308044705627747,0.25,"0.00031","***","Wilcoxon","Abundance",0.742462120245875,12,12,"large"
"Female","week 10","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0276011217404837,1,"0.02760","*","Wilcoxon","Abundance",0.446021200440745,12,13,"moderate"
"Female","week 10","Bifidobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000450916626112914,0.36,"0.00045","***","Wilcoxon","Abundance",0.707106781186548,12,13,"large"
"Male","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0303467893868292,1,"0.03035","*","Wilcoxon","Abundance",0.447931681790742,12,12,"moderate"
"Male","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 10","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00725995498819057,1,"0.00726","**","Wilcoxon","Abundance",0.553900311929462,12,12,"large"
"Male","week 10","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00211360968540401,1,"0.00211","**","Wilcoxon","Abundance",0.62019753449827,12,13,"large"
"Male","week 10","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.750779496851824,1,"0.75078","ns","Wilcoxon","Abundance",0.0707260550195908,12,12,"small"
"Male","week 10","Bifidobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.49286946474741e-05,0.022,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,13,12,"large"
"Female","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",2.23371780734926e-05,0.02,"2.2e-05","****","Wilcoxon","Abundance",0.87156929014447,12,12,"large"
"Female","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 5","Bifidobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00211780152582867,1,"0.00212","**","Wilcoxon","Abundance",0.62007825427128,12,13,"large"
"Female","week 5","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.23371780734926e-05,0.02,"2.2e-05","****","Wilcoxon","Abundance",0.87156929014447,12,12,"large"
"Female","week 5","Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",2.0394009979424e-05,0.019,"2.0e-05","****","Wilcoxon","Abundance",0.857675894756667,12,13,"large"
"Female","week 5","Bifidobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0012105893579225,0.95,"0.00121","**","Wilcoxon","Abundance",0.652713951864505,12,13,"large"
"Female","week 5","Butyricicoccaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00847158263159051,1,"0.00847","**","Wilcoxon","Abundance",0.54329756716029,12,12,"large"
"Female","week 5","Butyricicoccaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0936707341529509,1,"0.09367","ns","Wilcoxon","Abundance",0.348185586962343,12,12,"moderate"
"Female","week 5","Butyricicoccaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0153020987589354,1,"0.01530","*","Wilcoxon","Abundance",0.490479602603656,12,13,"moderate"
"Female","week 5","Butyricicoccaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",3.51787478907003e-05,0.031,"3.5e-05","****","Wilcoxon","Abundance",0.850378800772629,12,12,"large"
"Female","week 5","Butyricicoccaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.764817539583927,1,"0.76482","ns","Wilcoxon","Abundance",0.0652713951864505,12,13,"small"
"Female","week 5","Butyricicoccaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",6.18645951097343e-05,0.053,"6.2e-05","****","Wilcoxon","Abundance",0.806566457614901,12,13,"large"
