"sex","timepoint","Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 10","Burkholderiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.148589452248933,1,"0.14859","ns","Wilcoxon","Abundance",0.300462606288666,12,13,"moderate"
"Female","week 10","Burkholderiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",5.47710587857004e-06,0.0029,"5.5e-06","****","Wilcoxon","Abundance",0.914991421995628,12,13,"large"
"Male","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS Vehicle",0.0424174969639636,1,"0.04242","*","Wilcoxon","Abundance",0.421270858002864,12,12,"moderate"
"Male","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS FOS+GOS",7.17840581565878e-05,0.035,"7.2e-05","****","Wilcoxon","Abundance",0.799535027568456,12,13,"large"
"Male","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.078571522933535,1,"0.07857","ns","Wilcoxon","Abundance",0.365836311615662,12,12,"moderate"
"Male","week 10","Burkholderiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",1.32505234158494e-05,0.007,"1.3e-05","****","Wilcoxon","Abundance",0.876805851387121,12,13,"large"
"Male","week 10","Burkholderiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.489550368276039,1,"0.48955","ns","Wilcoxon","Abundance",0.149352048806699,12,12,"small"
"Male","week 10","Burkholderiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",1.58719412640558e-05,0.0083,"1.6e-05","****","Wilcoxon","Abundance",0.86881454274052,13,12,"large"
"Male","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS Vehicle",0.874990750368516,1,"0.87499","ns","Wilcoxon","Abundance",0.0385359658132118,12,12,"small"
"Male","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.00462731799933912,1,"0.00463","**","Wilcoxon","Abundance",0.571877631278959,12,13,"large"
"Male","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.445251759352402,1,"0.44525","ns","Wilcoxon","Abundance",0.162593916273628,12,12,"small"
"Male","week 5","Burkholderiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00569807303580285,1,"0.00570","**","Wilcoxon","Abundance",0.558462966910338,12,13,"large"
"Male","week 5","Burkholderiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.679782857403638,1,"0.67978","ns","Wilcoxon","Abundance",0.0912753525672872,12,12,"small"
"Male","week 5","Burkholderiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0211987623610712,1,"0.02120","*","Wilcoxon","Abundance",0.466505677340584,13,12,"moderate"
"Female","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS Vehicle",0.0788056024469581,1,"0.07881","ns","Wilcoxon","Abundance",0.369031449237481,12,12,"moderate"
"Female","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS FOS+GOS",4.86039963714985e-05,0.024,"4.9e-05","****","Wilcoxon","Abundance",0.835253903055117,12,12,"large"
"Female","week 5","Burkholderiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.286947178116908,1,"0.28695","ns","Wilcoxon","Abundance",0.221487254201195,12,13,"small"
"Female","week 5","Burkholderiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",1.02689156151545e-05,0.0054,"1.0e-05","****","Wilcoxon","Abundance",0.906776868898964,12,12,"large"
"Female","week 5","Burkholderiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 5","Burkholderiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",1.7438402161462e-05,0.0091,"1.7e-05","****","Wilcoxon","Abundance",0.864844256533686,12,13,"large"
"Female","week 10","Chlamydiales","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.00000","ns","Wilcoxon","Abundance",0.0122868296795748,12,12,"small"
"Female","week 10","Chlamydiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
