"Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Desulfovibrionaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Desulfovibrionaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Desulfovibrionaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00329451387658258,0.67,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Desulfovibrionaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Desulfovibrionaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Eggerthellaceae","Abundance","Control Vehicle","HFHS Vehicle",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Eggerthellaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.337372543938759,1,"0.3374","ns","Wilcoxon","Abundance",0.273495820879367,7,7,"small"
"Eggerthellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Eggerthellaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Eggerthellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.898326787269238,1,"0.8983","ns","Wilcoxon","Abundance",0.0512240832571883,7,7,"small"
"Eggerthellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00493790547090731,0.97,"0.0049","**","Wilcoxon","Abundance",0.768361248857824,7,7,"large"
"Enterobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",0.200406593222455,1,"0.2004","ns","Wilcoxon","Abundance",0.363587179195637,7,7,"moderate"
"Enterobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Enterobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0189091359160134,7,7,"small"
